airline,reg,type,msn,age
Egyptair,SU-GFJ,Airbus A320-251N,09473,6 years
Egyptair,SU-GFK,Airbus A320-251N,09519,6 years
Egyptair,SU-GFL,Airbus A320-251N,09526,6 years
Egyptair,SU-GFM,Airbus A320-251N,09532,6 years
Egyptair,SU-GFN,Airbus A320-251N,10013,5 years
Egyptair,SU-GFO,Airbus A320-251N,10039,5 years
Egyptair,SU-GFP,Airbus A320-251N,10064,5 years
Egyptair,SU-GFQ,Airbus A320-251N,10072,5 years
Egyptair,SU-GFR,Airbus A321-251NX,11164,3 years
Egyptair,SU-GFS,Airbus A321-251NX,11231,2 years
Egyptair,SU-GFT,Airbus A321-251NX,11341,2 years
Egyptair,SU-GFU,Airbus A321-251NX,11352,2 years
Egyptair,SU-GFV,Airbus A321-251NX,11445,2 years
Egyptair,SU-GFW,Airbus A321-251NX,11581,2 years
Egyptair,SU-GFX,Airbus A321-251NX,11557,2 years
Egyptair,SU-GCH,Airbus A330-243,0683,20 years
Egyptair,SU-GCI,Airbus A330-243,0696,20 years
Egyptair,SU-GCK,Airbus A330-243,0726,20 years
Egyptair,SU-GGD,Airbus A330-223,0939,17 years
Egyptair,SU-GDS,Airbus A330-343,1143,15 years
Egyptair,SU-GDT,Airbus A330-343,1230,14 years
Egyptair,SU-GDU,Airbus A330-343,1238,14 years
Egyptair,SU-GDV,Airbus A330-343,1246,14 years
Egyptair,SU-GGE,Airbus A350-941,767,Brand new
Egyptair,SU-GCM,Boeing 737-866,35558,19 years
Egyptair,SU-GCN,Boeing 737-866,35559,19 years
Egyptair,SU-GCO,Boeing 737-866,35561,18 years
Egyptair,SU-GCR,Boeing 737-866,35562,16 years
Egyptair,SU-GCS,Boeing 737-866,35563,17 years
Egyptair,SU-GCZ,Boeing 737-866,35568,17 years
Egyptair,SU-GDA,Boeing 737-866,35565,16 years
Egyptair,SU-GDB,Boeing 737-866,35567,16 years
Egyptair,SU-GDC,Boeing 737-866,35564,16 years
